,annotation,content,user
0,"{'notes': '', 'label': ['1']}", Get fucking real dude.,scotthamilton
1,"{'notes': '', 'label': ['1']}", She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...,mattycus
2,"{'notes': '', 'label': ['1']}", why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.,ElleCTF
3,"{'notes': '', 'label': ['1']}", Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,Karoli
4,"{'notes': '', 'label': ['1']}", WTF are you talking about Men? No men thats not a menage  that's just gay.,joy_wolf
5,"{'notes': '', 'label': ['1']}",Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.,mybirch
6,"{'notes': '', 'label': ['1']}", Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did,coZZ
7,"{'notes': '', 'label': ['1']}",...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol,2Hood4Hollywood
8,"{'notes': '', 'label': ['1']}","Lmao  im watching the same thing ahaha. The gay guy is hilarious! ""Dede having a good day and I dont want anyone to mess it up.""",mimismo
9,"{'notes': '', 'label': ['1']}",LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.,erinx3leannexo
10,"{'notes': '', 'label': ['1']}",truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's,pardonlauren
11,"{'notes': '', 'label': ['1']}",Shakespeare nerd!,TLeC
12,"{'notes': '', 'label': ['1']}",you are SUCH a fucking dork,robrobbierobert
13,"{'notes': '', 'label': ['1']}",Heh. Fuck 'em WHERE?!?,bayofwolves
14,"{'notes': '', 'label': ['1']}",damn it i totally forgot that one!,HairByJess
15,"{'notes': '', 'label': ['1']}",wow  damn I would have been pissed @ that...,lovesongwriter
16,"{'notes': '', 'label': ['1']}",nigga u geigh lmao! fuck yo finals beeeeeitch,armotley
17,"{'notes': '', 'label': ['1']}",that sucks :(,starkissed
18,"{'notes': '', 'label': ['1']}","read that this morning. my fav is how they just straight up say ""cum shots""",gi_gi_bee
19,"{'notes': '', 'label': ['1']}",Unibroue 17 !!!! Another damn good Unibroue,quanvu
20,"{'notes': '', 'label': ['1']}",damn your evil 60 minute IPA beckoning me from the fridge right now...,swinspeedx
21,"{'notes': '', 'label': ['1']}",It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.,cooliodoc
22,"{'notes': '', 'label': ['1']}",it pretty much is a fuck you card..,viJILLante
23,"{'notes': '', 'label': ['1']}",that karma is a bitch  HUH,Ljelli3166
24,"{'notes': '', 'label': ['1']}",don't get too fat or you'll turn into a boomer,ChicagoCubbie
25,"{'notes': '', 'label': ['1']}",the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.,KatieAngell
26,"{'notes': '', 'label': ['1']}",except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?,gagoo
27,"{'notes': '', 'label': ['1']}",man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.,abel209
28,"{'notes': '', 'label': ['1']}",hard to kick ass yourself with slippers on?  On it.,BaptisteTheFool
29,"{'notes': '', 'label': ['1']}",Thats pretty damn awesome! Very smart :) @Aaronage Sure!,fatkat309
30,"{'notes': '', 'label': ['1']}",freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool,EmCDL
31,"{'notes': '', 'label': ['1']}",Damn  that sounds good...,merisssa
32,"{'notes': '', 'label': ['1']}",they should have a wii loser..that way you can compete with your wii friends.,Pbearfox
33,"{'notes': '', 'label': ['1']}",@markmancao haha. i love it! gay nights for all!,jsoo
34,"{'notes': '', 'label': ['1']}",that's awesome! you're pretty damn good!,scarletletterm
35,"{'notes': '', 'label': ['1']}",Faggoty fag fag. Gay secks man blowjob. Settle down.,crosland_12
36,"{'notes': '', 'label': ['1']}",Right. That wouldn't be creepy as fuck.,ajaxpro
37,"{'notes': '', 'label': ['1']}",HOLY SHIT. Fuck that band.,Tmttq86
38,"{'notes': '', 'label': ['1']}",Gay fag.,Anthony_Nguyen
39,"{'notes': '', 'label': ['1']}",oh ok it's the dick-in-a-box guys  that explains the timberlake appearance,itsanimesh
40,"{'notes': '', 'label': ['1']}",*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?,lionslamb
41,"{'notes': '', 'label': ['1']}",and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay,kennypham
42,"{'notes': '', 'label': ['1']}", oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you,DdubsShellBell
43,"{'notes': '', 'label': ['1']}","where'd ya put it? o btw: ""kick ass quote Copyright&#169; 2009 @abcd91 All Rights Reserved""",hpfangirl94
44,"{'notes': '', 'label': ['1']}",It sucks to be done with exams n still be @ Mayag.,antzpantz
45,"{'notes': '', 'label': ['1']}",Epic WINS for Fuck City&lt;3,labrt2004
46,"{'notes': '', 'label': ['1']}",Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol,IrisJumbe
47,"{'notes': '', 'label': ['1']}", aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!,peacoats
48,"{'notes': '', 'label': ['1']}",fuck yes.  I hate them at work...,cyantist
49,"{'notes': '', 'label': ['1']}",Holy ass hell balls!!!  $260 for premium????  Fuck upgrading.  I will fucking cope with Basic,tautao
50,"{'notes': '', 'label': ['1']}",but seriously...  WHY THE HELL ARE YOU STILL ONLINE????  Were you injured in god damn 'NAM or something???  GO!!!,voyage2k
51,"{'notes': '', 'label': ['1']}",damn. Don't want to visit a country that doesn't allow passport smile. Just want to go to Cabo soon.,crzy_cdn_bulas
52,"{'notes': '', 'label': ['1']}",I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.,justnetgirl
53,"{'notes': '', 'label': ['1']}",damn.  did you buy bitchy too?,CiaraRenee
54,"{'notes': '', 'label': ['1']}",then by all means  bitch away! haha.,deelau
